sAlgorithm,inputLength,outputLength,buffersize,time
 SHA-224,24288,0,32,0
 SHA-224,24288,0,64,0
 SHA-224,24288,0,128,0
 SHA-224,24288,0,256,0
 SHA-224,24288,0,512,0
 SHA-224,24288,0,1024,0
 SHA-224,24288,0,2048,0
 SHA-224,24288,0,4096,0
 SHA-224,24288,0,8192,0
 SHA-224,24288,0,16384,0
 SHA-224,24288,0,32768,0
 SHA-224,24288,0,65536,0
 SHA-224,24288,0,131072,0
 SHA-224,24288,0,262144,0
 SHA-224,24288,0,524288,0
 SHA-224,24288,0,1048576,0
 SHA-224,24288,0,2097152,0
 SHA-224,24288,0,4194304,0
 SHA-224,24288,0,8388608,0
 SHA-224,24288,0,16777216,0
 SHA-224,24288,0,33554432,0
 SHA-224,24288,0,67108864,0
 SHA-256,24288,0,1,0
 SHA-256,24288,0,2,0
 SHA-256,24288,0,4,0
 SHA-256,24288,0,8,0
 SHA-256,24288,0,16,0
 SHA-256,24288,0,32,0
 SHA-256,24288,0,64,0
 SHA-256,24288,0,128,5
 SHA-256,24288,0,256,0
 SHA-256,24288,0,512,0
 SHA-256,24288,0,1024,0
 SHA-256,24288,0,2048,0
 SHA-256,24288,0,4096,0
 SHA-256,24288,0,8192,5
 SHA-256,24288,0,16384,0
 SHA-256,24288,0,32768,0
 SHA-256,24288,0,65536,0
 SHA-256,24288,0,131072,0
 SHA-256,24288,0,262144,0
 SHA-256,24288,0,524288,0
 SHA-256,24288,0,1048576,0
 SHA-256,24288,0,2097152,0
 SHA-256,24288,0,4194304,0
 SHA-256,24288,0,8388608,0
 SHA-256,24288,0,16777216,0
 SHA-256,24288,0,33554432,0
 SHA-256,24288,0,67108864,0
 SHA-384,24288,0,1,0
 SHA-384,24288,0,2,0
 SHA-384,24288,0,4,0
 SHA-384,24288,0,8,0
 SHA-384,24288,0,16,0
 SHA-384,24288,0,32,0
 SHA-384,24288,0,64,0
 SHA-384,24288,0,128,0
 SHA-384,24288,0,256,0
 SHA-384,24288,0,512,0
 SHA-384,24288,0,1024,0
 SHA-384,24288,0,2048,0
 SHA-384,24288,0,4096,0
 SHA-384,24288,0,8192,0
 SHA-384,24288,0,16384,0
 SHA-384,24288,0,32768,0
 SHA-384,24288,0,65536,0
 SHA-384,24288,0,131072,1
 SHA-384,24288,0,262144,0
 SHA-384,24288,0,524288,0
 SHA-384,24288,0,1048576,0
 SHA-384,24288,0,2097152,0
 SHA-384,24288,0,4194304,0
 SHA-384,24288,0,8388608,0
 SHA-384,24288,0,16777216,1
 SHA-384,24288,0,33554432,0
 SHA-384,24288,0,67108864,0
 SHA-512,24288,0,1,0
 SHA-512,24288,0,2,0
 SHA-512,24288,0,4,0
 SHA-512,24288,0,8,0
 SHA-512,24288,0,16,1
 SHA-512,24288,0,32,0
 SHA-512,24288,0,64,0
 SHA-512,24288,0,128,0
 SHA-512,24288,0,256,0
 SHA-512,24288,0,512,0
 SHA-512,24288,0,1024,5
 SHA-512,24288,0,2048,0
 SHA-512,24288,0,4096,0
 SHA-512,24288,0,8192,0
 SHA-512,24288,0,16384,0
 SHA-512,24288,0,32768,5
 SHA-512,24288,0,65536,0
 SHA-512,24288,0,131072,0
 SHA-512,24288,0,262144,0
 SHA-512,24288,0,524288,0
 SHA-512,24288,0,1048576,0
 SHA-512,24288,0,2097152,0
 SHA-512,24288,0,4194304,0
 SHA-512,24288,0,8388608,0
 SHA-512,24288,0,16777216,0
 SHA-512,24288,0,33554432,0
 SHA-512,24288,0,67108864,0
 SHA3-224,24288,0,1,0
 SHA3-224,24288,0,2,0
 SHA3-224,24288,0,4,0
 SHA3-224,24288,0,8,0
 SHA3-224,24288,0,16,0
 SHA3-224,24288,0,32,0
 SHA3-224,24288,0,64,0
 SHA3-224,24288,0,128,0
 SHA3-224,24288,0,256,0
 SHA3-224,24288,0,512,0
 SHA3-224,24288,0,1024,0
 SHA3-224,24288,0,2048,0
 SHA3-224,24288,0,4096,0
 SHA3-224,24288,0,8192,0
 SHA3-224,24288,0,16384,0
 SHA3-224,24288,0,32768,0
 SHA3-224,24288,0,65536,0
 SHA3-224,24288,0,131072,5
 SHA3-224,24288,0,262144,0
 SHA3-224,24288,0,524288,0
 SHA3-224,24288,0,1048576,0
 SHA3-224,24288,0,2097152,0
 SHA3-224,24288,0,4194304,0
 SHA3-224,24288,0,8388608,0
 SHA3-224,24288,0,16777216,0
 SHA3-224,24288,0,33554432,0
 SHA3-224,24288,0,67108864,0
 SHA3-256,24288,0,1,0
 SHA3-256,24288,0,2,0
 SHA3-256,24288,0,4,0
 SHA3-256,24288,0,8,0
 SHA3-256,24288,0,16,0
 SHA3-256,24288,0,32,0
 SHA3-256,24288,0,64,0
 SHA3-256,24288,0,128,0
 SHA3-256,24288,0,256,0
 SHA3-256,24288,0,512,0
 SHA3-256,24288,0,1024,0
 SHA3-256,24288,0,2048,0
 SHA3-256,24288,0,4096,0
 SHA3-256,24288,0,8192,0
 SHA3-256,24288,0,16384,0
 SHA3-256,24288,0,32768,0
 SHA3-256,24288,0,65536,0
 SHA3-256,24288,0,131072,0
 SHA3-256,24288,0,262144,0
 SHA3-256,24288,0,524288,0
 SHA3-256,24288,0,1048576,0
 SHA3-256,24288,0,2097152,0
 SHA3-256,24288,0,4194304,0
 SHA3-256,24288,0,8388608,0
 SHA3-256,24288,0,16777216,0
 SHA3-256,24288,0,33554432,0
 SHA3-256,24288,0,67108864,0
 SHA3-384,24288,0,1,0
 SHA3-384,24288,0,2,0
 SHA3-384,24288,0,4,0
 SHA3-384,24288,0,8,0
 SHA3-384,24288,0,16,0
 SHA3-384,24288,0,32,0
 SHA3-384,24288,0,64,0
 SHA3-384,24288,0,128,0
 SHA3-384,24288,0,256,0
 SHA3-384,24288,0,512,0
 SHA3-384,24288,0,1024,0
 SHA3-384,24288,0,2048,0
 SHA3-384,24288,0,4096,0
 SHA3-384,24288,0,8192,0
 SHA3-384,24288,0,16384,0
 SHA3-384,24288,0,32768,1
 SHA3-384,24288,0,65536,0
 SHA3-384,24288,0,131072,0
 SHA3-384,24288,0,262144,0
 SHA3-384,24288,0,524288,0
 SHA3-384,24288,0,1048576,0
 SHA3-384,24288,0,2097152,1
 SHA3-384,24288,0,4194304,0
 SHA3-384,24288,0,8388608,0
 SHA3-384,24288,0,16777216,0
 SHA3-384,24288,0,33554432,0
 SHA3-384,24288,0,67108864,0
 SHA3-512,24288,0,1,0
 SHA3-512,24288,0,2,0
 SHA3-512,24288,0,4,0
 SHA3-512,24288,0,8,0
 SHA3-512,24288,0,16,0
 SHA3-512,24288,0,32,0
 SHA3-512,24288,0,64,5
 SHA3-512,24288,0,128,0
 SHA3-512,24288,0,256,0
 SHA3-512,24288,0,512,0
 SHA3-512,24288,0,1024,0
 SHA3-512,24288,0,2048,0
 SHA3-512,24288,0,4096,0
 SHA3-512,24288,0,8192,0
 SHA3-512,24288,0,16384,0
 SHA3-512,24288,0,32768,0
 SHA3-512,24288,0,65536,0
 SHA3-512,24288,0,131072,0
 SHA3-512,24288,0,262144,0
 SHA3-512,24288,0,524288,0
 SHA3-512,24288,0,1048576,0
 SHA3-512,24288,0,2097152,0
 SHA3-512,24288,0,4194304,0
 SHA3-512,24288,0,8388608,0
 SHA3-512,24288,0,16777216,5
 SHA3-512,24288,0,33554432,0
 SHA3-512,24288,0,67108864,0
 SHA-1,40480,0,1,0
 SHA-1,40480,0,2,0
 SHA-1,40480,0,4,0
 SHA-1,40480,0,8,0
 SHA-1,40480,0,16,0
 SHA-1,40480,0,32,0
 SHA-1,40480,0,64,0
 SHA-1,40480,0,128,0
 SHA-1,40480,0,256,0
 SHA-1,40480,0,512,0
 SHA-1,40480,0,1024,0
 SHA-1,40480,0,2048,0
 SHA-1,40480,0,4096,0
 SHA-1,40480,0,8192,0
 SHA-1,40480,0,16384,0
 SHA-1,40480,0,32768,0
 SHA-1,40480,0,65536,0
 SHA-1,40480,0,131072,0
 SHA-1,40480,0,262144,0
 SHA-1,40480,0,524288,0
 SHA-1,40480,0,1048576,0
 SHA-1,40480,0,2097152,0
